"Name in English","Countries","Degree of endangerment"
"South Italian","Italy","Vulnerable"
"Sicilian","Italy","Vulnerable"
"Low Saxon","Germany, Denmark, Netherlands, Poland, Russian Federation","Vulnerable"
"Belarusian","Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","Vulnerable"
"Lombard","Italy, Switzerland","Definitely endangered"
"Romani","Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","Definitely endangered"
"Yiddish (Israel)","Israel","Definitely endangered"
"Gondi","India","Vulnerable"
"Limburgian-Ripuarian","Germany, Belgium, Netherlands","Vulnerable"
"Quechua of Southern Bolivia","Bolivia (Plurinational State of)","Vulnerable"
"Kumaoni","India, Nepal","Vulnerable"
"Aymara","Bolivia (Plurinational State of), Chile, Peru","Vulnerable"
"Emilian-Romagnol","Italy, San Marino","Definitely endangered"
"Piedmontese","Italy","Definitely endangered"
"Venetan","Croatia, Italy, Slovenia","Vulnerable"
"Zazaki","Turkey","Vulnerable"
"Kurux (India)","India","Vulnerable"
"Tamajeq","Niger","Vulnerable"
"Tulu","India","Vulnerable"
"Kangdi","India","Definitely endangered"
"Scots","United Kingdom of Great Britain and Northern Ireland","Vulnerable"
"Torlak","Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","Vulnerable"
"West Flemish","Belgium, France, Netherlands","Vulnerable"
"Bashkir","Russian Federation","Vulnerable"
"Chechen","Russian Federation","Vulnerable"
"Chuvash","Russian Federation","Vulnerable"
"Meithei","India","Vulnerable"
"Tamang","India, Nepal","Vulnerable"
"Quechua of Cuzco","Peru","Vulnerable"
"Eastern Slovak","Slovakia, Ukraine","Vulnerable"
"Ligurian","France, Italy, Monaco","Definitely endangered"
"Rusyn","Hungary, Poland, Romania, Slovakia, Ukraine","Vulnerable"
"Talysh","Azerbaijan, Iran (Islamic Republic of)","Vulnerable"
"Kui","India","Vulnerable"
"Khasi","India","Vulnerable"
"Bodo","India","Vulnerable"
"Campidanese","Italy","Definitely endangered"
"K'iche' (Guatemala)","Guatemala","Vulnerable"
"Quechua of Ayacucho","Peru","Definitely endangered"
"Newar","Nepal","Definitely endangered"
"Mon","Myanmar, Thailand","Vulnerable"
"Polesian","Belarus, Poland, Ukraine","Vulnerable"
"Tamaceq","Mali","Definitely endangered"
"Avar","Russian Federation","Vulnerable"
"Mundari","India","Vulnerable"
"Welsh","United Kingdom of Great Britain and Northern Ireland","Vulnerable"
"Angika","India, Nepal","Vulnerable"
"Q'eqchi' (Guatemala)","Guatemala","Vulnerable"
"Picard","Belgium, France","Severely endangered"
"Kokborok","Bangladesh, India","Vulnerable"
"Basque","Spain, France","Vulnerable"
"Kabard-Cherkes","Russian Federation, Turkey","Vulnerable"
"Mandeali","India","Definitely endangered"
"Friulian","Italy","Definitely endangered"
"Quechua of Ancash and Huánuco","Peru","Definitely endangered"
"Walloon","Belgium, France, Luxembourg","Definitely endangered"
"Mising","India","Definitely endangered"
"Ossete","Georgia, Russian Federation","Vulnerable"
"Mizo","India","Vulnerable"
"Dargwa","Russian Federation","Vulnerable"
"Aromanian","Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","Definitely endangered"
"Brahui","Iran (Islamic Republic of), Pakistan, Afghanistan","Vulnerable"
"Languedocian","France","Severely endangered"
"Lezgian","Azerbaijan, Russian Federation","Vulnerable"
"Mahasui","India","Definitely endangered"
"Magar","Nepal","Definitely endangered"
"Mam (Guatemala)","Guatemala","Vulnerable"
"Udmurt","Russian Federation","Definitely endangered"
"Huasteca Náhuatl","Mexico","Vulnerable"
"Kumyk","Russian Federation","Vulnerable"
"Yakut","Russian Federation","Vulnerable"
"Kaqchikel (Guatemala)","Guatemala","Vulnerable"
"Karbi","India","Vulnerable"
"Eastern Mari","Russian Federation","Definitely endangered"
"Ingush","Russian Federation","Vulnerable"
"Erzya","Russian Federation","Definitely endangered"
"Ho","India","Vulnerable"
"Judezmo (Israel)","Israel","Severely endangered"
"Lalo","China","Vulnerable"
"Limousin","France","Severely endangered"
"Logudorese","Italy","Definitely endangered"
"Mapuche (Chile)","Chile","Definitely endangered"
"Central Náhuatl","Mexico","Vulnerable"
"Moselle Franconian","Germany, Belgium, France, Luxembourg","Vulnerable"
"Bantawa","Nepal","Vulnerable"
"Santa","China","Vulnerable"
"Mingrelian","Georgia","Definitely endangered"
"West Frisian","Netherlands","Vulnerable"
"Gurung","Nepal","Definitely endangered"
"Guajiro","Colombia, Venezuela (Bolivarian Republic of)","Vulnerable"
"Karachay-Balkar","Russian Federation","Vulnerable"
"Adyge","Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","Vulnerable"
"Buryat (Trans-Baikal)","Russian Federation","Definitely endangered"
"Kurru","India","Definitely endangered"
"Kuvi","India","Definitely endangered"
"Limbu","India, Nepal","Definitely endangered"
"Moroccan Judeo-Arabic (Israel)","Israel","Definitely endangered"
"Plautdietsch","Ukraine","Definitely endangered"
"Pontic Greek","Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","Definitely endangered"
"Quichua (Cotopaxi, Tungurahua and Chimborazo)","Ecuador","Definitely endangered"
"Waxiang","China","Vulnerable"
"Oyrat","China, Kyrgyzstan, Mongolia","Definitely endangered"
"Garhwali","India","Vulnerable"
"Bade","Nigeria","Vulnerable"
"Breton","France","Severely endangered"
"Gascon","Spain, France","Definitely endangered"
"Phula (China)","China","Vulnerable"
"Sora","India","Vulnerable"
"Konyak","India","Vulnerable"
"Ao","India","Vulnerable"
"Tuvan","China, Mongolia, Russian Federation","Vulnerable"
"Nafusi","Libyan Arab Jamahiriya","Severely endangered"
"Suret","Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","Definitely endangered"
"Malto","India","Definitely endangered"
"Khowar","Pakistan","Vulnerable"
"Maiya","Pakistan","Vulnerable"
"Komi","Russian Federation","Definitely endangered"
"Alpine Provençal","France, Italy","Definitely endangered"
"Gallo","France","Severely endangered"
"Gera","Nigeria","Vulnerable"
"Irula","India","Vulnerable"
"Kharia","India","Vulnerable"
"Khorasani Turk","Iran (Islamic Republic of)","Vulnerable"
"Korku","India","Vulnerable"
"Moksha","Russian Federation","Definitely endangered"
"Western Armenian (Middle East)","Iraq, Lebanon, Syrian Arab Republic","Definitely endangered"
"Western Cham","Cambodia","Vulnerable"
"Tshangla","Bhutan, China, India","Vulnerable"
"Thado","India","Vulnerable"
"Gagauz (Bessarabia)","Republic of Moldova, Ukraine","Definitely endangered"
"Kului","India","Definitely endangered"
"Adi","China, India","Vulnerable"
"Lhota","India","Vulnerable"
"Nyishi","India","Vulnerable"
"Ngäbere (Panama)","Panama","Vulnerable"
"Kodagu","India","Definitely endangered"
"Corsican","France, Italy","Definitely endangered"
"Dzongkha","Bhutan","Vulnerable"
"Kalmyk","Russian Federation","Definitely endangered"
"Lak","Russian Federation","Vulnerable"
"Asturian-Leonese","Spain, Portugal","Definitely endangered"
"Latgalian","Latvia, Russian Federation","Vulnerable"
"Provençal","France","Severely endangered"
"Rabha","India","Vulnerable"
"Tamzabit","Algeria","Vulnerable"
"Sherpa","China, India, Nepal","Vulnerable"
"Tangkhul","India","Vulnerable"
"Q'aanjob'al","Guatemala","Vulnerable"
"Badaga","India","Definitely endangered"
"Angami","India","Vulnerable"
"Laz","Georgia, Turkey","Definitely endangered"
"Tabasaran","Russian Federation","Vulnerable"
"Chambeali","India","Definitely endangered"
"Abkhaz","Georgia, Russian Federation, Turkey","Vulnerable"
"Phom","India","Vulnerable"
"Kolami","India","Definitely endangered"
"Navajo","United States of America","Vulnerable"
"Sassarese","Italy","Definitely endangered"
"Tamahaq (Algeria)","Algeria","Vulnerable"
"Konda","India","Definitely endangered"
"Sierra Totonac","Mexico","Severely endangered"
"Jaunsari","India","Definitely endangered"
"Dimasa","India","Vulnerable"
"Ladakhi","China, India","Vulnerable"
"Salar","China","Vulnerable"
"Simi","India","Vulnerable"
"Phurhepecha","Mexico","Vulnerable"
"Crimean Tatar (Crimea)","Ukraine","Severely endangered"
"Dagur (Nonni)","China","Definitely endangered"
"Francoprovençal","France, Italy, Switzerland","Definitely endangered"
"Gallurese","Italy","Definitely endangered"
"Mapuche (Argentina)","Argentina","Severely endangered"
"Mehri","Oman, Yemen","Definitely endangered"
"Miskito (Nicaragua)","Nicaragua","Vulnerable"
"Ordos","China","Definitely endangered"
